Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Australia,England,Australia,5 wickets,Melbourne,"Jan 5, 1971",England,Balanced,Australia
England,Australia,England,6 wickets,Manchester,"Aug 24, 1972",Australia,Bowling,England (United Kingdom)
England,Australia,Australia,5 wickets,Lord's,"Aug 26, 1972",England,Balanced,England (United Kingdom)
England,Australia,England,2 wickets,Birmingham,"Aug 28, 1972",Australia,Balanced,England (United Kingdom)
New Zealand,Pakistan,New Zealand,22 runs,Christchurch,"Feb 11, 1973",New Zealand,Balanced,New Zealand
England,New Zealand,England,7 wickets,Swansea,"Jul 18, 1973",New Zealand,Balanced,Wales (United Kingdom)
England,New Zealand,0,-,Manchester,"Jul 20, 1973",New Zealand,Bowling,England (United Kingdom)
England,West Indies,England,1 wicket,Leeds,"Sep 5, 1973",West Indies,Balanced,England (United Kingdom)
England,West Indies,West Indies,8 wickets,The Oval,"Sep 7, 1973",England,Balanced,England (United Kingdom)
New Zealand,Australia,Australia,7 wickets,Dunedin,"Mar 30, 1974",New Zealand,Balanced,New Zealand
New Zealand,Australia,Australia,31 runs,Christchurch,"Mar 31, 1974",Australia,Balanced,New Zealand
England,India,England,4 wickets,Leeds,"Jul 13, 1974",India,Balanced,England (United Kingdom)
England,India,England,6 wickets,The Oval,"Jul 15-16, 1974",India,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,7 wickets,Nottingham,"Aug 31, 1974",England,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,8 wickets,Birmingham,"Sep 3, 1974",England,Balanced,England (United Kingdom)
Australia,England,England,3 wickets,Melbourne,"Jan 1, 1975",Australia,Balanced,Australia
New Zealand,England,0,-,Dunedin,"Mar 8, 1975",England,Balanced,New Zealand
New Zealand,England,0,-,Wellington,"Mar 9, 1975",England,Balanced,New Zealand
England,India,England,202 runs,Lord's,"Jun 7, 1975",England,Balanced,England (United Kingdom)
East Africa,New Zealand,New Zealand,181 runs,Birmingham,"Jun 7, 1975",New Zealand,Balanced,England (United Kingdom)
Australia,Pakistan,Australia,73 runs,Leeds,"Jun 7, 1975",Australia,Balanced,England (United Kingdom)
Sri Lanka,West Indies,West Indies,9 wickets,Manchester,"Jun 7, 1975",Sri Lanka,Bowling,England (United Kingdom)
England,New Zealand,England,80 runs,Nottingham,"Jun 11, 1975",England,Balanced,England (United Kingdom)
East Africa,India,India,10 wickets,Leeds,"Jun 11, 1975",East Africa,Balanced,England (United Kingdom)
Australia,Sri Lanka,Australia,52 runs,The Oval,"Jun 11, 1975",Australia,Balanced,England (United Kingdom)
Pakistan,West Indies,West Indies,1 wicket,Birmingham,"Jun 11, 1975",Pakistan,Balanced,England (United Kingdom)
England,East Africa,England,196 runs,Birmingham,"Jun 14, 1975",England,Balanced,England (United Kingdom)
India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975",India,Bowling,England (United Kingdom)
Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 14, 1975",Australia,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,"Jun 14, 1975",Pakistan,Balanced,England (United Kingdom)
England,Australia,Australia,4 wickets,Leeds,"Jun 18, 1975",England,Balanced,England (United Kingdom)
New Zealand,West Indies,West Indies,5 wickets,The Oval,"Jun 18, 1975",New Zealand,Balanced,England (United Kingdom)
Australia,West Indies,West Indies,17 runs,Lord's,"Jun 21, 1975",West Indies,Balanced,England (United Kingdom)
Australia,West Indies,Australia,5 wickets,Adelaide,"Dec 20, 1975",West Indies,Balanced,Australia
New Zealand,India,New Zealand,9 wickets,Christchurch,"Feb 21, 1976",India,Balanced,New Zealand
New Zealand,India,New Zealand,80 runs,Auckland,"Feb 22, 1976",New Zealand,Batting,New Zealand
England,West Indies,West Indies,6 wickets,Scarborough,"Aug 26, 1976",England,Balanced,Canada
England,West Indies,West Indies,36 runs,Lord's,"Aug 28-29, 1976",West Indies,Balanced,England (United Kingdom)
England,West Indies,West Indies,50 runs,Birmingham,"Aug 30-31, 1976",West Indies,Balanced,England (United Kingdom)
Pakistan,New Zealand,New Zealand,1 run,Sialkot,"Oct 16, 1976",Pakistan,Balanced,Pakistan
West Indies,Pakistan,West Indies,4 wickets,Albion,"Mar 16, 1977",Pakistan,Balanced,Guyana
England,Australia,England,2 wickets,Manchester,"Jun 2, 1977",Australia,Bowling,England (United Kingdom)
England,Australia,England,101 runs,Birmingham,"Jun 4, 1977",England,Balanced,England (United Kingdom)
England,Australia,Australia,2 wickets,The Oval,"Jun 6, 1977",England,Balanced,England (United Kingdom)
Pakistan,England,England,3 wickets,Sahiwal,"Dec 23, 1977",Pakistan,Balanced,Pakistan
Pakistan,England,England,6 wickets,Sialkot,"Dec 30, 1977",Pakistan,Balanced,Pakistan
Pakistan,England,Pakistan,36 runs,Lahore,"Jan 13, 1978",Pakistan,Balanced,Pakistan
West Indies,Australia,West Indies,44 runs,St John's,"Feb 22, 1978",West Indies,Balanced,Antigua and Barbuda
West Indies,Australia,Australia,2 wickets,Castries,"Apr 12, 1978",West Indies,Batting,Saint Lucia
England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978",England,Bowling,England (United Kingdom)
England,Pakistan,England,94 runs,The Oval,"May 26, 1978",England,Balanced,England (United Kingdom)
England,New Zealand,England,19 runs,Scarborough,"Jul 15, 1978",England,Balanced,Canada
England,New Zealand,England,126 runs,Manchester,"Jul 17, 1978",England,Bowling,England (United Kingdom)
Pakistan,India,India,4 runs,Quetta,"Oct 1, 1978",India,Balanced,Pakistan
Pakistan,India,Pakistan,8 wickets,Sialkot,"Oct 13, 1978",India,Balanced,Pakistan
Pakistan,India,Pakistan,-,Sahiwal,"Nov 3, 1978",India,Balanced,Pakistan
Australia,England,0,-,Sydney,"Jan 13, 1979",England,Balanced,Australia
Australia,England,England,7 wickets,Melbourne,"Jan 24, 1979",Australia,Balanced,Australia
Australia,England,Australia,4 wickets,Melbourne,"Feb 4, 1979",England,Balanced,Australia
Australia,England,Australia,6 wickets,Melbourne,"Feb 7, 1979",England,Balanced,Australia
India,West Indies,West Indies,9 wickets,Birmingham,"Jun 9, 1979",India,Balanced,England (United Kingdom)
New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,"Jun 9, 1979",Sri Lanka,Balanced,England (United Kingdom)
England,Australia,England,6 wickets,Lord's,"Jun 9, 1979",Australia,Balanced,England (United Kingdom)
Canada,Pakistan,Pakistan,8 wickets,Leeds,"Jun 9, 1979",Canada,Balanced,England (United Kingdom)
India,New Zealand,New Zealand,8 wickets,Leeds,"Jun 13, 1979",India,Balanced,England (United Kingdom)
Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",Pakistan,Balanced,England (United Kingdom)
England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979",Canada,Bowling,England (United Kingdom)
India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979",Sri Lanka,Bowling,England (United Kingdom)
New Zealand,West Indies,West Indies,32 runs,Nottingham,"Jun 16, 1979",West Indies,Balanced,England (United Kingdom)
Australia,Canada,Australia,7 wickets,Birmingham,"Jun 16, 1979",Canada,Balanced,England (United Kingdom)
England,Pakistan,England,14 runs,Leeds,"Jun 16, 1979",England,Balanced,England (United Kingdom)
England,New Zealand,England,9 runs,Manchester,"Jun 20, 1979",England,Bowling,England (United Kingdom)
Pakistan,West Indies,West Indies,43 runs,The Oval,"Jun 20, 1979",West Indies,Balanced,England (United Kingdom)
England,West Indies,West Indies,92 runs,Lord's,"Jun 23, 1979",West Indies,Balanced,England (United Kingdom)
Australia,West Indies,Australia,5 wickets,Sydney,"Nov 27, 1979",West Indies,Balanced,Australia
England,West Indies,England,2 runs,Sydney,"Nov 28, 1979",England,Balanced,Australia
Australia,England,England,3 wickets,Melbourne,"Dec 8, 1979",Australia,Balanced,Australia
Australia,West Indies,West Indies,80 runs,Melbourne,"Dec 9, 1979",West Indies,Balanced,Australia
Australia,England,England,72 runs,Sydney,"Dec 11, 1979",England,Balanced,Australia
Australia,West Indies,Australia,7 runs,Sydney,"Dec 21, 1979",Australia,Balanced,Australia
England,West Indies,West Indies,9 wickets,Brisbane,"Dec 23, 1979",England,Batting,Australia
Australia,England,England,4 wickets,Sydney,"Dec 26, 1979",Australia,Balanced,Australia
Australia,England,England,2 wickets,Sydney,"Jan 14, 1980",Australia,Balanced,Australia
England,West Indies,West Indies,107 runs,Adelaide,"Jan 16, 1980",West Indies,Balanced,Australia
Australia,West Indies,Australia,9 runs,Sydney,"Jan 18, 1980",Australia,Balanced,Australia
England,West Indies,West Indies,2 runs,Melbourne,"Jan 20, 1980",West Indies,Balanced,Australia
England,West Indies,West Indies,8 wickets,Sydney,"Jan 22, 1980",England,Balanced,Australia
New Zealand,West Indies,New Zealand,1 wicket,Christchurch,"Feb 6, 1980",West Indies,Balanced,New Zealand
England,West Indies,West Indies,24 runs,Leeds,"May 28-29, 1980",West Indies,Balanced,England (United Kingdom)
England,West Indies,England,3 wickets,Lord's,"May 30, 1980",West Indies,Balanced,England (United Kingdom)
England,Australia,England,23 runs,The Oval,"Aug 20, 1980",England,Balanced,England (United Kingdom)
England,Australia,England,47 runs,Birmingham,"Aug 22, 1980",England,Balanced,England (United Kingdom)
Pakistan,West Indies,West Indies,4 wickets,Karachi,"Nov 21, 1980",Pakistan,Batting,Pakistan
Australia,New Zealand,New Zealand,3 wickets,Adelaide,"Nov 23, 1980",Australia,Balanced,Australia
Australia,New Zealand,Australia,94 runs,Sydney,"Nov 25, 1980",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,7 wickets,Sialkot,"Dec 5, 1980",Pakistan,Balanced,Pakistan
Australia,India,India,66 runs,Melbourne,"Dec 6, 1980",India,Balanced,Australia
Australia,New Zealand,Australia,4 wickets,Melbourne,"Dec 7, 1980",New Zealand,Balanced,Australia
India,New Zealand,India,5 runs,Perth,"Dec 9, 1980",India,Balanced,Australia
Australia,India,Australia,9 wickets,Sydney,"Dec 18, 1980",India,Balanced,Australia
Pakistan,West Indies,West Indies,7 runs,Lahore,"Dec 19, 1980",West Indies,Balanced,Pakistan
India,New Zealand,New Zealand,3 wickets,Brisbane,"Dec 21, 1980",India,Batting,Australia
India,New Zealand,India,6 runs,Adelaide,"Dec 23, 1980",India,Balanced,Australia
Australia,India,Australia,9 wickets,Sydney,"Jan 8, 1981",India,Balanced,Australia
India,New Zealand,New Zealand,10 wickets,Melbourne,"Jan 10, 1981",India,Balanced,Australia
Australia,India,Australia,7 wickets,Melbourne,"Jan 11, 1981",India,Balanced,Australia
Australia,New Zealand,New Zealand,1 run,Sydney,"Jan 13, 1981",Australia,Balanced,Australia
Australia,India,Australia,27 runs,Sydney,"Jan 15, 1981",Australia,Balanced,Australia
India,New Zealand,New Zealand,22 runs,Brisbane,"Jan 18, 1981",New Zealand,Batting,Australia
Australia,New Zealand,0,-,Sydney,"Jan 21, 1981",New Zealand,Balanced,Australia
Australia,New Zealand,New Zealand,78 runs,Sydney,"Jan 29, 1981",New Zealand,Balanced,Australia
Australia,New Zealand,Australia,7 wickets,Melbourne,"Jan 31, 1981",New Zealand,Balanced,Australia
Australia,New Zealand,Australia,6 runs,Melbourne,"Feb 1, 1981",Australia,Balanced,Australia
Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 3, 1981",New Zealand,Balanced,Australia
West Indies,England,West Indies,2 runs,Kingstown,"Feb 4, 1981",West Indies,Balanced,Saint Vincent and the Grenadines
New Zealand,India,New Zealand,78 runs,Auckland,"Feb 14, 1981",New Zealand,Batting,New Zealand
New Zealand,India,New Zealand,57 runs,Hamilton,"Feb 15, 1981",New Zealand,Balanced,New Zealand
West Indies,England,West Indies,6 wickets,Albion,"Feb 26, 1981",England,Balanced,Guyana
England,Australia,England,6 wickets,Lord's,"Jun 4, 1981",Australia,Balanced,England (United Kingdom)
England,Australia,Australia,2 runs,Birmingham,"Jun 6, 1981",Australia,Balanced,England (United Kingdom)
England,Australia,Australia,71 runs,Leeds,"Jun 8, 1981",Australia,Balanced,England (United Kingdom)
Pakistan,West Indies,West Indies,18 runs,Melbourne,"Nov 21, 1981",West Indies,Balanced,Australia
Australia,Pakistan,Pakistan,4 wickets,Melbourne,"Nov 22, 1981",Australia,Balanced,Australia
Australia,West Indies,Australia,7 wickets,Sydney,"Nov 24, 1981",West Indies,Balanced,Australia
India,England,England,5 wickets,Ahmedabad,"Nov 25, 1981",India,Balanced,India
Pakistan,West Indies,Pakistan,8 runs,Adelaide,"Dec 5, 1981",Pakistan,Balanced,Australia
Australia,Pakistan,Australia,38 runs,Adelaide,"Dec 6, 1981",Australia,Balanced,Australia
Australia,Pakistan,Pakistan,6 wickets,Sydney,"Dec 17, 1981",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,7 wickets,Perth,"Dec 19, 1981",Pakistan,Balanced,Australia
Australia,West Indies,West Indies,8 wickets,Perth,"Dec 20, 1981",Australia,Balanced,Australia
India,England,India,6 wickets,Jalandhar,"Dec 20, 1981",England,Balanced,India
Australia,Pakistan,Pakistan,25 runs,Melbourne,"Jan 9, 1982",Pakistan,Balanced,Australia
Australia,West Indies,West Indies,5 wickets,Melbourne,"Jan 10, 1982",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,7 wickets,Sydney,"Jan 12, 1982",Pakistan,Balanced,Australia
Australia,Pakistan,Australia,76 runs,Sydney,"Jan 14, 1982",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,1 wicket,Brisbane,"Jan 16, 1982",Pakistan,Batting,Australia
Australia,West Indies,West Indies,5 wickets,Brisbane,"Jan 17, 1982",Australia,Batting,Australia
Australia,West Indies,Australia,5 runs,Sydney,"Jan 19, 1982",Australia,Balanced,Australia
Australia,West Indies,West Indies,86 runs,Melbourne,"Jan 23, 1982",West Indies,Balanced,Australia
Australia,West Indies,West Indies,128 runs,Melbourne,"Jan 24, 1982",West Indies,Balanced,Australia
Australia,West Indies,Australia,46 runs,Sydney,"Jan 26, 1982",Australia,Balanced,Australia
Australia,West Indies,West Indies,18 runs,Sydney,"Jan 27, 1982",West Indies,Balanced,Australia
India,England,India,5 wickets,Cuttack,"Jan 27, 1982",England,Balanced,India
New Zealand,Australia,New Zealand,46 runs,Auckland,"Feb 13, 1982",New Zealand,Batting,New Zealand
Sri Lanka,England,England,5 runs,Colombo (SSC),"Feb 13, 1982",England,Balanced,Sri Lanka
Sri Lanka,England,Sri Lanka,3 runs,Colombo (SSC),"Feb 14, 1982",Sri Lanka,Balanced,Sri Lanka
New Zealand,Australia,Australia,6 wickets,Dunedin,"Feb 17, 1982",New Zealand,Balanced,New Zealand
New Zealand,Australia,Australia,8 wickets,Wellington,"Feb 20, 1982",New Zealand,Balanced,New Zealand
Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,"Mar 12, 1982",Sri Lanka,Batting,Pakistan
Pakistan,Sri Lanka,Sri Lanka,30 runs,Lahore,"Mar 29, 1982",Sri Lanka,Balanced,Pakistan
Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,"Mar 31, 1982",Sri Lanka,Batting,Pakistan
England,India,England,9 wickets,Leeds,"Jun 2, 1982",India,Balanced,England (United Kingdom)
England,India,England,114 runs,The Oval,"Jun 4, 1982",England,Balanced,England (United Kingdom)
England,Pakistan,England,7 wickets,Nottingham,"Jul 17, 1982",Pakistan,Balanced,England (United Kingdom)
England,Pakistan,England,73 runs,Manchester,"Jul 19, 1982",England,Bowling,England (United Kingdom)
India,Sri Lanka,India,78 runs,Amritsar,"Sep 12, 1982",India,Balanced,India
India,Sri Lanka,India,6 wickets,Delhi,"Sep 15, 1982",Sri Lanka,Batting,India
Pakistan,Australia,Pakistan,59 runs,Hyderabad (Sind),"Sep 20, 1982",Pakistan,Balanced,Pakistan
India,Sri Lanka,India,6 wickets,Bengaluru,"Sep 26, 1982",Sri Lanka,Balanced,India
Pakistan,Australia,Pakistan,28 runs,Lahore,"Oct 8, 1982",Pakistan,Balanced,Pakistan
Pakistan,Australia,0,-,Karachi,"Oct 22, 1982",Australia,Batting,Pakistan
Pakistan,India,Pakistan,14 runs,Gujranwala,"Dec 3, 1982",Pakistan,Balanced,Pakistan
Pakistan,India,Pakistan,37 runs,Multan,"Dec 17, 1982",Pakistan,Balanced,Pakistan
Pakistan,India,India,18 runs,Lahore,"Dec 31, 1982",India,Balanced,Pakistan
Australia,New Zealand,Australia,8 wickets,Melbourne,"Jan 9, 1983",New Zealand,Balanced,Australia
Australia,England,Australia,31 runs,Sydney,"Jan 11, 1983",Australia,Balanced,Australia
England,New Zealand,New Zealand,2 runs,Melbourne,"Jan 13, 1983",New Zealand,Balanced,Australia
England,New Zealand,England,54 runs,Brisbane,"Jan 15, 1983",England,Batting,Australia
Australia,England,Australia,7 wickets,Brisbane,"Jan 16, 1983",England,Batting,Australia
Australia,New Zealand,New Zealand,47 runs,Sydney,"Jan 18, 1983",New Zealand,Balanced,Australia
England,New Zealand,England,8 wickets,Sydney,"Jan 20, 1983",New Zealand,Balanced,Australia
Pakistan,India,Pakistan,8 wickets,Karachi,"Jan 21, 1983",India,Batting,Pakistan
Australia,New Zealand,New Zealand,58 runs,Melbourne,"Jan 22, 1983",New Zealand,Balanced,Australia
Australia,England,Australia,5 wickets,Melbourne,"Jan 23, 1983",England,Balanced,Australia
Australia,England,England,98 runs,Sydney,"Jan 26, 1983",England,Balanced,Australia
England,New Zealand,New Zealand,4 wickets,Adelaide,"Jan 29, 1983",England,Balanced,Australia
Australia,England,England,14 runs,Adelaide,"Jan 30, 1983",England,Balanced,Australia
Australia,New Zealand,New Zealand,47 runs,Adelaide,"Jan 31, 1983",New Zealand,Balanced,Australia
England,New Zealand,New Zealand,7 wickets,Perth,"Feb 5, 1983",England,Balanced,Australia
Australia,New Zealand,Australia,27 runs,Perth,"Feb 6, 1983",Australia,Balanced,Australia
Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 9, 1983",New Zealand,Balanced,Australia
Australia,New Zealand,Australia,149 runs,Melbourne,"Feb 13, 1983",Australia,Balanced,Australia
New Zealand,England,New Zealand,6 wickets,Auckland,"Feb 19, 1983",England,Batting,New Zealand
New Zealand,England,New Zealand,103 runs,Wellington,"Feb 23, 1983",New Zealand,Balanced,New Zealand
New Zealand,England,New Zealand,84 runs,Christchurch,"Feb 26, 1983",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin,"Mar 2, 1983",New Zealand,Balanced,New Zealand
West Indies,India,West Indies,52 runs,Port of Spain,"Mar 9, 1983",West Indies,Batting,Trinidad and Tobago
Australia,New Zealand,New Zealand,14 runs,Sydney,"Mar 17, 1983",New Zealand,Balanced,Australia
New Zealand,Sri Lanka,New Zealand,7 wickets,Napier,"Mar 19, 1983",Sri Lanka,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,116 runs,Auckland,"Mar 20, 1983",New Zealand,Batting,New Zealand
West Indies,India,India,27 runs,Albion,"Mar 29, 1983",India,Balanced,Guyana
West Indies,India,West Indies,7 wickets,St George's,"Apr 7, 1983",India,Batting,Grenada
Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS),"Apr 13, 1983",Australia,Balanced,Sri Lanka
Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),"Apr 16, 1983",Australia,Balanced,Sri Lanka
Sri Lanka,Australia,0,-,Colombo (SSC),"Apr 29, 1983",Australia,Balanced,Sri Lanka
Sri Lanka,Australia,0,-,Colombo (SSC),"Apr 30, 1983",Australia,Balanced,Sri Lanka
England,New Zealand,England,106 runs,The Oval,"Jun 9, 1983",England,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,"Jun 9, 1983",Pakistan,Balanced,Wales (United Kingdom)
Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983",Zimbabwe,Balanced,England (United Kingdom)
India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983",India,Bowling,England (United Kingdom)
England,Sri Lanka,England,47 runs,Taunton,"Jun 11, 1983",England,Balanced,England (United Kingdom)
New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983",New Zealand,Balanced,England (United Kingdom)
Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983",West Indies,Balanced,England (United Kingdom)
India,Zimbabwe,India,5 wickets,Leicester,"Jun 11, 1983",Zimbabwe,Balanced,England (United Kingdom)
England,Pakistan,England,8 wickets,Lord's,"Jun 13, 1983",Pakistan,Balanced,England (United Kingdom)
New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,"Jun 13, 1983",Sri Lanka,Balanced,England (United Kingdom)
Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983",Australia,Balanced,England (United Kingdom)
West Indies,Zimbabwe,West Indies,8 wickets,Worcester,"Jun 13, 1983",Zimbabwe,Batting,England (United Kingdom)
England,New Zealand,New Zealand,2 wickets,Birmingham,"Jun 15, 1983",England,Balanced,England (United Kingdom)
India,West Indies,West Indies,66 runs,The Oval,"Jun 15, 1983",West Indies,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,"Jun 16, 1983",Pakistan,Balanced,England (United Kingdom)
Australia,Zimbabwe,Australia,32 runs,Southampton,"Jun 16, 1983",Australia,Balanced,England (United Kingdom)
England,Pakistan,England,7 wickets,Manchester,"Jun 18, 1983",Pakistan,Bowling,England (United Kingdom)
New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,"Jun 18, 1983",New Zealand,Balanced,England (United Kingdom)
Australia,West Indies,West Indies,7 wickets,Lord's,"Jun 18, 1983",Australia,Balanced,England (United Kingdom)
India,Zimbabwe,India,31 runs,Tunbridge Wells,"Jun 18, 1983",India,Balanced,England (United Kingdom)
England,Sri Lanka,England,9 wickets,Leeds,"Jun 20, 1983",Sri Lanka,Balanced,England (United Kingdom)
New Zealand,Pakistan,Pakistan,11 runs,Nottingham,"Jun 20, 1983",Pakistan,Balanced,England (United Kingdom)
Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983",India,Balanced,England (United Kingdom)
West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,"Jun 20, 1983",Zimbabwe,Balanced,England (United Kingdom)
England,India,India,6 wickets,Manchester,"Jun 22, 1983",England,Bowling,England (United Kingdom)
Pakistan,West Indies,West Indies,8 wickets,The Oval,"Jun 22, 1983",Pakistan,Balanced,England (United Kingdom)
India,West Indies,India,43 runs,Lord's,"Jun 25, 1983",India,Balanced,England (United Kingdom)
India,Pakistan,India,4 wickets,Hyderabad (Deccan),"Sep 10, 1983",Pakistan,Balanced,India
India,Pakistan,India,4 wickets,Jaipur,"Oct 2, 1983",Pakistan,Balanced,India
India,West Indies,West Indies,28 runs,Srinagar,"Oct 13, 1983",West Indies,Balanced,India
India,West Indies,West Indies,4 wickets,Vadodara,"Nov 9, 1983",India,Balanced,India
India,West Indies,West Indies,8 wickets,Indore,"Dec 1, 1983",India,Balanced,India
India,West Indies,West Indies,104 runs,Jamshedpur,"Dec 7, 1983",West Indies,Balanced,India
India,West Indies,West Indies,6 wickets,Guwahati,"Dec 17, 1983",India,Bowling,India
Australia,West Indies,West Indies,27 runs,Melbourne,"Jan 8, 1984",West Indies,Balanced,Australia
Australia,Pakistan,Australia,34 runs,Sydney,"Jan 10, 1984",Australia,Balanced,Australia
Pakistan,West Indies,Pakistan,97 runs,Melbourne,"Jan 12, 1984",Pakistan,Balanced,Australia
Pakistan,West Indies,West Indies,5 wickets,Brisbane,"Jan 14, 1984",Pakistan,Batting,Australia
Australia,Pakistan,0,-,Brisbane,"Jan 15, 1984",Pakistan,Batting,Australia
Australia,West Indies,West Indies,28 runs,Sydney,"Jan 17, 1984",West Indies,Balanced,Australia
Pakistan,West Indies,West Indies,5 wickets,Sydney,"Jan 19, 1984",Pakistan,Balanced,Australia
Australia,Pakistan,Australia,43 runs,Melbourne,"Jan 21, 1984",Australia,Balanced,Australia
Australia,West Indies,West Indies,26 runs,Melbourne,"Jan 22, 1984",West Indies,Balanced,Australia
Australia,Pakistan,Australia,87 runs,Sydney,"Jan 25, 1984",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,1 wicket,Adelaide,"Jan 28, 1984",Pakistan,Balanced,Australia
Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 29, 1984",Australia,Balanced,Australia
Australia,Pakistan,Australia,70 runs,Adelaide,"Jan 30, 1984",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,7 wickets,Perth,"Feb 4, 1984",Pakistan,Balanced,Australia
Australia,West Indies,Australia,14 runs,Perth,"Feb 5, 1984",Australia,Balanced,Australia
Australia,West Indies,West Indies,9 wickets,Sydney,"Feb 8, 1984",Australia,Balanced,Australia
Australia,West Indies,0,-,Melbourne,"Feb 11, 1984",West Indies,Balanced,Australia
Australia,West Indies,West Indies,6 wickets,Melbourne,"Feb 12, 1984",Australia,Balanced,Australia
New Zealand,England,England,54 runs,Christchurch,"Feb 18, 1984",England,Balanced,New Zealand
New Zealand,England,England,6 wickets,Wellington,"Feb 22, 1984",New Zealand,Balanced,New Zealand
New Zealand,England,New Zealand,7 wickets,Auckland,"Feb 25, 1984",England,Batting,New Zealand
West Indies,Australia,West Indies,8 wickets,Albion,"Feb 29, 1984",Australia,Balanced,Guyana
Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC),"Mar 3, 1984",New Zealand,Balanced,Sri Lanka
Pakistan,England,Pakistan,6 wickets,Lahore,"Mar 9, 1984",England,Balanced,Pakistan
West Indies,Australia,Australia,4 wickets,Port of Spain,"Mar 14, 1984",West Indies,Batting,Trinidad and Tobago
Pakistan,England,England,6 wickets,Karachi,"Mar 26, 1984",Pakistan,Batting,Pakistan
Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa,"Mar 31, 1984",Sri Lanka,Balanced,Sri Lanka
Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS),"Apr 1, 1984",New Zealand,Balanced,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Apr 6, 1984",Pakistan,Batting,United Arab Emirates (UAE)
India,Sri Lanka,India,10 wickets,Sharjah,"Apr 8, 1984",Sri Lanka,Batting,United Arab Emirates (UAE)
India,Pakistan,India,54 runs,Sharjah,"Apr 13, 1984",India,Batting,United Arab Emirates (UAE)
West Indies,Australia,West Indies,7 wickets,Castries,"Apr 19, 1984",Australia,Batting,Saint Lucia
West Indies,Australia,West Indies,9 wickets,Kingston,"Apr 26, 1984",Australia,Batting,Jamaica
England,West Indies,West Indies,104 runs,Manchester,"May 31, 1984",West Indies,Bowling,England (United Kingdom)
England,West Indies,England,3 wickets,Nottingham,"Jun 2, 1984",West Indies,Balanced,England (United Kingdom)
England,West Indies,West Indies,8 wickets,Lord's,"Jun 4, 1984",England,Balanced,England (United Kingdom)
India,Australia,Australia,48 runs,New Delhi,"Sep 28, 1984",Australia,Balanced,India
India,Australia,0,-,Thiruvananthapuram,"Oct 1, 1984",Australia,Balanced,India
India,Australia,0,-,Jamshedpur,"Oct 3, 1984",Australia,Balanced,India
India,Australia,Australia,7 wickets,Ahmedabad,"Oct 5, 1984",India,Balanced,India
India,Australia,Australia,6 wickets,Indore,"Oct 6, 1984",India,Balanced,India
Pakistan,India,Pakistan,46 runs,Quetta,"Oct 12, 1984",Pakistan,Balanced,Pakistan
Pakistan,India,0,-,Sialkot,"Oct 31, 1984",India,Balanced,Pakistan
Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS),"Nov 3, 1984",New Zealand,Balanced,Sri Lanka
