Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
South Africa,Pakistan,South Africa,4 runs,Johannesburg,"Nov 20, 2013",T20I # 340,South Africa,Batting,South Africa
Sri Lanka,New Zealand,Sri Lanka,8 wickets,Pallekele,"Nov 21, 2013",T20I # 341,New Zealand,Batting,Sri Lanka
Netherlands,Scotland,Scotland,15 runs,ICCA Dubai,"Nov 22, 2013",T20I # 342,Scotland,Balanced,United Arab Emirates (UAE)
South Africa,Pakistan,Pakistan,6 runs,Cape Town,"Nov 22, 2013",T20I # 343,Pakistan,Bowling,South Africa
Kenya,Netherlands,Netherlands,29 runs,ICCA Dubai,"Nov 23, 2013",T20I # 344,Netherlands,Balanced,United Arab Emirates (UAE)
Afghanistan,Kenya,Afghanistan,34 runs,Sharjah,"Nov 24, 2013",T20I # 345,Afghanistan,Batting,United Arab Emirates (UAE)
Canada,Kenya,Kenya,21 runs,Sharjah,"Nov 26, 2013",T20I # 346,Kenya,Batting,United Arab Emirates (UAE)
Netherlands,Scotland,Netherlands,8 wickets,Abu Dhabi,"Nov 28, 2013",T20I # 347,Scotland,Bowling,United Arab Emirates (UAE)
Afghanistan,Ireland,Ireland,68 runs,Abu Dhabi,"Nov 30, 2013",T20I # 348,Ireland,Bowling,United Arab Emirates (UAE)
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,"Dec 8, 2013",T20I # 349,Afghanistan,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Pakistan,3 wickets,Dubai (DSC),"Dec 11, 2013",T20I # 350,Sri Lanka,Balanced,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Sri Lanka,24 runs,Dubai (DSC),"Dec 13, 2013",T20I # 351,Sri Lanka,Balanced,United Arab Emirates (UAE)
New Zealand,West Indies,New Zealand,81 runs,Auckland,"Jan 11, 2014",T20I # 352,New Zealand,Batting,New Zealand
New Zealand,West Indies,New Zealand,4 wickets,Wellington,"Jan 15, 2014",T20I # 353,West Indies,Balanced,New Zealand
Australia,England,Australia,13 runs,Hobart,"Jan 29, 2014",T20I # 354,Australia,Balanced,Australia
Australia,England,Australia,8 wickets,Melbourne,"Jan 31, 2014",T20I # 355,England,Balanced,Australia
Australia,England,Australia,84 runs,Sydney,"Feb 2, 2014",T20I # 356,Australia,Balanced,Australia
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,"Feb 12, 2014",T20I # 357,Sri Lanka,Batting,Bangladesh
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,"Feb 14, 2014",T20I # 358,Bangladesh,Batting,Bangladesh
West Indies,Ireland,Ireland,6 wickets,Kingston,"Feb 19, 2014",T20I # 359,West Indies,Batting,Jamaica
West Indies,Ireland,West Indies,11 runs,Kingston,"Feb 21, 2014",T20I # 360,West Indies,Batting,Jamaica
West Indies,England,West Indies,27 runs,Bridgetown,"Mar 9, 2014",T20I # 361,West Indies,Balanced,Barbados
West Indies,England,West Indies,5 wickets,Bridgetown,"Mar 11, 2014",T20I # 362,England,Balanced,Barbados
South Africa,Australia,Australia,5 wickets,Durban,"Mar 12, 2014",T20I # 363,South Africa,Batting,South Africa
West Indies,England,England,5 runs,Bridgetown,"Mar 13, 2014",T20I # 364,England,Balanced,Barbados
South Africa,Australia,Australia,6 wickets,Centurion,"Mar 14, 2014",T20I # 365,South Africa,Batting,South Africa
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,"Mar 16, 2014",T20I # 366,Afghanistan,Batting,Bangladesh
Hong Kong,Nepal,Nepal,80 runs,Chattogram,"Mar 16, 2014",T20I # 367,Nepal,Batting,Bangladesh
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,"Mar 17, 2014",T20I # 368,Zimbabwe,Batting,Bangladesh
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,"Mar 17, 2014",T20I # 369,U.A.E.,Batting,Bangladesh
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,"Mar 18, 2014",T20I # 370,Hong Kong,Batting,Bangladesh
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,"Mar 18, 2014",T20I # 371,Nepal,Batting,Bangladesh
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 19, 2014",T20I # 372,Netherlands,Batting,Bangladesh
Ireland,U.A.E.,Ireland,21 runs,Sylhet,"Mar 19, 2014",T20I # 373,Ireland,Batting,Bangladesh
Afghanistan,Nepal,Nepal,9 runs,Chattogram,"Mar 20, 2014",T20I # 374,Nepal,Batting,Bangladesh
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,"Mar 20, 2014",T20I # 375,Bangladesh,Batting,Bangladesh
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 21, 2014",T20I # 376,U.A.E.,Batting,Bangladesh
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,"Mar 21, 2014",T20I # 377,Ireland,Batting,Bangladesh
India,Pakistan,India,7 wickets,Mirpur,"Mar 21, 2014",T20I # 378,Pakistan,Batting,Bangladesh
