Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
Afghanistan,Oman,Afghanistan,27 runs,Abu Dhabi,"Nov 29, 2015",T20I # 471,Afghanistan,Bowling,United Arab Emirates (UAE)
Afghanistan,Oman,Afghanistan,12 runs,Abu Dhabi,"Nov 30, 2015",T20I # 472,Afghanistan,Bowling,United Arab Emirates (UAE)
England,Pakistan,0,-,Sharjah,"Nov 30, 2015",T20I # 473,England,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,"Jan 7, 2016",T20I # 474,New Zealand,Balanced,New Zealand
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,"Jan 8, 2016",T20I # 475,Afghanistan,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,"Jan 10, 2016",T20I # 476,Sri Lanka,Batting,New Zealand
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,"Jan 10, 2016",T20I # 477,Afghanistan,Batting,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,16 runs,Auckland,"Jan 15, 2016",T20I # 478,Pakistan,Batting,New Zealand
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,"Jan 15, 2016",T20I # 479,Zimbabwe,Balanced,Bangladesh
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,"Jan 17, 2016",T20I # 480,Pakistan,Balanced,New Zealand
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,"Jan 17, 2016",T20I # 481,Bangladesh,Balanced,Bangladesh
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,"Jan 20, 2016",T20I # 482,Zimbabwe,Balanced,Bangladesh
New Zealand,Pakistan,New Zealand,95 runs,Wellington,"Jan 22, 2016",T20I # 483,New Zealand,Balanced,New Zealand
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,"Jan 22, 2016",T20I # 484,Zimbabwe,Balanced,Bangladesh
Australia,India,India,37 runs,Adelaide,"Jan 26, 2016",T20I # 485,India,Balanced,Australia
Australia,India,India,27 runs,Melbourne,"Jan 29, 2016",T20I # 486,India,Balanced,Australia
Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok,"Jan 30, 2016",T20I # 487,Scotland,Balanced,Hong Kong
Hong Kong,Scotland,Scotland,37 runs,Mong Kok,"Jan 31, 2016",T20I # 488,Scotland,Balanced,Hong Kong
Australia,India,India,7 wickets,Sydney,"Jan 31, 2016",T20I # 489,Australia,Balanced,Australia
U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai,"Feb 3, 2016",T20I # 490,Netherlands,Balanced,United Arab Emirates (UAE)
U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai,"Feb 4, 2016",T20I # 491,U.A.E.,Balanced,United Arab Emirates (UAE)
Netherlands,Scotland,Scotland,37 runs,ICCA Dubai,"Feb 5, 2016",T20I # 492,Scotland,Balanced,United Arab Emirates (UAE)
Ireland,P.N.G.,Ireland,5 wickets,Townsville,"Feb 6, 2016",T20I # 493,P.N.G.,Balanced,Australia
Ireland,P.N.G.,Ireland,7 runs,Townsville,"Feb 7, 2016",T20I # 494,Ireland,Balanced,Australia
Ireland,P.N.G.,P.N.G.,11 runs,Townsville,"Feb 9, 2016",T20I # 495,P.N.G.,Balanced,Australia
India,Sri Lanka,Sri Lanka,5 wickets,Pune,"Feb 9, 2016",T20I # 496,India,Balanced,India
India,Sri Lanka,India,69 runs,Ranchi,"Feb 12, 2016",T20I # 497,India,Balanced,India
U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi,"Feb 14, 2016",T20I # 498,Ireland,Bowling,United Arab Emirates (UAE)
India,Sri Lanka,India,9 wickets,Visakhapatnam,"Feb 14, 2016",T20I # 499,Sri Lanka,Balanced,India
U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi,"Feb 16, 2016",T20I # 500,U.A.E.,Bowling,United Arab Emirates (UAE)
Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah,"Feb 19, 2016",T20I # 501,U.A.E.,Balanced,Bangladesh
Hong Kong,Oman,Oman,5 runs,Fatullah,"Feb 19, 2016",T20I # 502,Oman,Balanced,Bangladesh
South Africa,England,South Africa,3 wickets,Cape Town,"Feb 19, 2016",T20I # 503,England,Bowling,South Africa
Afghanistan,Oman,Afghanistan,3 wickets,Fatullah,"Feb 20, 2016",T20I # 504,Oman,Balanced,Bangladesh
Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah,"Feb 21, 2016",T20I # 505,Hong Kong,Balanced,Bangladesh
South Africa,England,South Africa,9 wickets,Johannesburg,"Feb 21, 2016",T20I # 506,England,Batting,South Africa
Afghanistan,Hong Kong,Afghanistan,66 runs,Mirpur,"Feb 22, 2016",T20I # 507,Afghanistan,Batting,Bangladesh
Oman,U.A.E.,U.A.E.,71 runs,Mirpur,"Feb 22, 2016",T20I # 508,U.A.E.,Batting,Bangladesh
Bangladesh,India,India,45 runs,Mirpur,"Feb 24, 2016",T20I # 509,India,Batting,Bangladesh
Sri Lanka,U.A.E.,Sri Lanka,14 runs,Mirpur,"Feb 25, 2016",T20I # 510,Sri Lanka,Batting,Bangladesh
Bangladesh,U.A.E.,Bangladesh,51 runs,Mirpur,"Feb 26, 2016",T20I # 511,Bangladesh,Batting,Bangladesh
India,Pakistan,India,5 wickets,Mirpur,"Feb 27, 2016",T20I # 512,Pakistan,Batting,Bangladesh
Bangladesh,Sri Lanka,Bangladesh,23 runs,Mirpur,"Feb 28, 2016",T20I # 513,Bangladesh,Batting,Bangladesh
Pakistan,U.A.E.,Pakistan,7 wickets,Mirpur,"Feb 29, 2016",T20I # 514,U.A.E.,Batting,Bangladesh
India,Sri Lanka,India,5 wickets,Mirpur,"Mar 1, 2016",T20I # 515,Sri Lanka,Batting,Bangladesh
Bangladesh,Pakistan,Bangladesh,5 wickets,Mirpur,"Mar 2, 2016",T20I # 516,Pakistan,Batting,Bangladesh
India,U.A.E.,India,9 wickets,Mirpur,"Mar 3, 2016",T20I # 517,U.A.E.,Batting,Bangladesh
Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur,"Mar 4, 2016",T20I # 518,Sri Lanka,Batting,Bangladesh
South Africa,Australia,South Africa,3 wickets,Durban,"Mar 4, 2016",T20I # 519,Australia,Batting,South Africa
South Africa,Australia,Australia,5 wickets,Johannesburg,"Mar 6, 2016",T20I # 520,South Africa,Batting,South Africa
Bangladesh,India,India,8 wickets,Mirpur,"Mar 6, 2016",T20I # 521,Bangladesh,Batting,Bangladesh
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,"Mar 8, 2016",T20I # 522,Zimbabwe,Balanced,India
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,"Mar 8, 2016",T20I # 523,Afghanistan,Balanced,India
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,"Mar 9, 2016",T20I # 524,Bangladesh,Bowling,India
Ireland,Oman,Oman,2 wickets,Dharamsala,"Mar 9, 2016",T20I # 525,Ireland,Bowling,India
South Africa,Australia,Australia,6 wickets,Cape Town,"Mar 9, 2016",T20I # 526,South Africa,Bowling,South Africa
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,"Mar 10, 2016",T20I # 527,Zimbabwe,Balanced,India
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,"Mar 10, 2016",T20I # 528,Hong Kong,Balanced,India
Netherlands,Oman,0,-,Dharamsala,"Mar 11, 2016",T20I # 529,Netherlands,Bowling,India
Bangladesh,Ireland,0,-,Dharamsala,"Mar 11, 2016",T20I # 530,Bangladesh,Bowling,India
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,"Mar 12, 2016",T20I # 531,Afghanistan,Balanced,India
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,"Mar 12, 2016",T20I # 532,Hong Kong,Balanced,India
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,"Mar 13, 2016",T20I # 533,Netherlands,Bowling,India
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,"Mar 13, 2016",T20I # 534,Bangladesh,Bowling,India
India,New Zealand,New Zealand,47 runs,Nagpur,"Mar 15, 2016",T20I # 535,New Zealand,Balanced,India
Bangladesh,Pakistan,Pakistan,55 runs,Eden Gardens,"Mar 16, 2016",T20I # 536,Pakistan,Balanced,India
England,West Indies,West Indies,6 wickets,Wankhede,"Mar 16, 2016",T20I # 537,England,Balanced,India
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Eden Gardens,"Mar 17, 2016",T20I # 538,Afghanistan,Balanced,India
Australia,New Zealand,New Zealand,8 runs,Dharamsala,"Mar 18, 2016",T20I # 539,New Zealand,Bowling,India
England,South Africa,England,2 wickets,Wankhede,"Mar 18, 2016",T20I # 540,South Africa,Balanced,India
India,Pakistan,India,6 wickets,Eden Gardens,"Mar 19, 2016",T20I # 541,Pakistan,Balanced,India
Afghanistan,South Africa,South Africa,37 runs,Wankhede,"Mar 20, 2016",T20I # 542,South Africa,Balanced,India
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,"Mar 20, 2016",T20I # 543,Sri Lanka,Balanced,India
Australia,Bangladesh,Australia,3 wickets,Bengaluru,"Mar 21, 2016",T20I # 544,Bangladesh,Balanced,India
New Zealand,Pakistan,New Zealand,22 runs,Mohali,"Mar 22, 2016",T20I # 545,New Zealand,Batting,India
Afghanistan,England,England,15 runs,Delhi,"Mar 23, 2016",T20I # 546,England,Batting,India
India,Bangladesh,India,1 runs,Bengaluru,"Mar 23, 2016",T20I # 547,India,Balanced,India
Australia,Pakistan,Australia,21 runs,Mohali,"Mar 25, 2016",T20I # 548,Australia,Batting,India
South Africa,West Indies,West Indies,3 wickets,Nagpur,"Mar 25, 2016",T20I # 549,South Africa,Balanced,India
Bangladesh,New Zealand,New Zealand,75 runs,Eden Gardens,"Mar 26, 2016",T20I # 550,New Zealand,Balanced,India
England,Sri Lanka,England,10 runs,Delhi,"Mar 26, 2016",T20I # 551,England,Batting,India
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,"Mar 27, 2016",T20I # 552,Afghanistan,Balanced,India
India,Australia,India,6 wickets,Mohali,"Mar 27, 2016",T20I # 553,Australia,Batting,India
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,"Mar 28, 2016",T20I # 554,Sri Lanka,Batting,India
England,New Zealand,England,7 wickets,Delhi,"Mar 30, 2016",T20I # 555,New Zealand,Batting,India
India,West Indies,West Indies,7 wickets,Wankhede,"Mar 31, 2016",T20I # 556,India,Balanced,India
England,West Indies,West Indies,4 wickets,Eden Gardens,"Apr 3, 2016",T20I # 557,England,Balanced,India
Zimbabwe,India,Zimbabwe,2 runs,Harare,"Jun 18, 2016",T20I # 558,Zimbabwe,Balanced,Zimbabwe
Zimbabwe,India,India,10 wickets,Harare,"Jun 20, 2016",T20I # 559,Zimbabwe,Balanced,Zimbabwe
Zimbabwe,India,India,3 runs,Harare,"Jun 22, 2016",T20I # 560,India,Balanced,Zimbabwe
England,Sri Lanka,England,8 wickets,Southampton,"Jul 5, 2016",T20I # 561,Sri Lanka,Balanced,England (United Kingdom)
India,West Indies,West Indies,1 runs,Lauderhill,"Aug 27, 2016",T20I # 562,West Indies,Batting,United States (Florida)
India,West Indies,0,-,Lauderhill,"Aug 28, 2016",T20I # 563,India,Batting,United States (Florida)
Ireland,Hong Kong,Hong Kong,40 runs,Bready,"Sep 5, 2016",T20I # 564,Hong Kong,Balanced,Northern Ireland (United Kingdom)
Sri Lanka,Australia,Australia,85 runs,Pallekele,"Sep 6, 2016",T20I # 565,Australia,Batting,Sri Lanka
England,Pakistan,Pakistan,9 wickets,Manchester,"Sep 7, 2016",T20I # 566,England,Bowling,England (United Kingdom)
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Sep 9, 2016",T20I # 567,Sri Lanka,Batting,Sri Lanka
Pakistan,West Indies,Pakistan,9 wickets,Dubai (DSC),"Sep 23, 2016",T20I # 568,West Indies,Balanced,United Arab Emirates (UAE)
Pakistan,West Indies,Pakistan,16 runs,Dubai (DSC),"Sep 24, 2016",T20I # 569,Pakistan,Balanced,United Arab Emirates (UAE)
Pakistan,West Indies,Pakistan,8 wickets,Abu Dhabi,"Sep 27, 2016",T20I # 570,West Indies,Bowling,United Arab Emirates (UAE)
U.A.E.,Afghanistan,Afghanistan,11 runs,ICCA Dubai,"Dec 14, 2016",T20I # 571,Afghanistan,Balanced,United Arab Emirates (UAE)
U.A.E.,Afghanistan,Afghanistan,5 wickets,Dubai (DSC),"Dec 16, 2016",T20I # 572,U.A.E.,Balanced,United Arab Emirates (UAE)
U.A.E.,Afghanistan,Afghanistan,44 runs,ICCA Dubai,"Dec 18, 2016",T20I # 573,Afghanistan,Balanced,United Arab Emirates (UAE)
New Zealand,Bangladesh,New Zealand,6 wickets,Napier,"Jan 3, 2017",T20I # 574,Bangladesh,Balanced,New Zealand
New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,"Jan 6, 2017",T20I # 575,New Zealand,Balanced,New Zealand
New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,"Jan 8, 2017",T20I # 576,New Zealand,Balanced,New Zealand
Hong Kong,Scotland,Scotland,24 runs,Abu Dhabi,"Jan 14, 2017",T20I # 577,Scotland,Bowling,United Arab Emirates (UAE)
Afghanistan,Ireland,Afghanistan,5 wickets,Abu Dhabi,"Jan 14, 2017",T20I # 578,Ireland,Bowling,United Arab Emirates (UAE)
Netherlands,Oman,Netherlands,5 wickets,Abu Dhabi,"Jan 15, 2017",T20I # 579,Oman,Bowling,United Arab Emirates (UAE)
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,"Jan 16, 2017",T20I # 580,Hong Kong,Bowling,United Arab Emirates (UAE)
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Jan 16, 2017",T20I # 581,U.A.E.,Bowling,United Arab Emirates (UAE)
Netherlands,Scotland,Scotland,7 runs,Abu Dhabi,"Jan 17, 2017",T20I # 582,Scotland,Bowling,United Arab Emirates (UAE)
U.A.E.,Ireland,Ireland,24 runs,Dubai (DSC),"Jan 18, 2017",T20I # 583,Ireland,Balanced,United Arab Emirates (UAE)
Hong Kong,Netherlands,Hong Kong,91 runs,Dubai (DSC),"Jan 18, 2017",T20I # 584,Hong Kong,Balanced,United Arab Emirates (UAE)
Oman,Scotland,Scotland,7 wickets,Dubai (DSC),"Jan 19, 2017",T20I # 585,Oman,Balanced,United Arab Emirates (UAE)
Afghanistan,Oman,Afghanistan,8 wickets,Dubai (DSC),"Jan 20, 2017",T20I # 586,Oman,Balanced,United Arab Emirates (UAE)
Ireland,Scotland,Ireland,98 runs,Dubai (DSC),"Jan 20, 2017",T20I # 587,Ireland,Balanced,United Arab Emirates (UAE)
Afghanistan,Ireland,Afghanistan,10 wickets,Dubai (DSC),"Jan 20, 2017",T20I # 588,Ireland,Balanced,United Arab Emirates (UAE)
South Africa,Sri Lanka,South Africa,19 runs,Centurion,"Jan 20, 2017",T20I # 589,South Africa,Batting,South Africa
South Africa,Sri Lanka,Sri Lanka,3 wickets,Johannesburg,"Jan 22, 2017",T20I # 590,South Africa,Batting,South Africa
South Africa,Sri Lanka,Sri Lanka,5 wickets,Cape Town,"Jan 25, 2017",T20I # 591,South Africa,Bowling,South Africa
India,England,England,7 wickets,Kanpur,"Jan 26, 2017",T20I # 592,India,Balanced,India
India,England,India,5 runs,Nagpur,"Jan 29, 2017",T20I # 593,India,Balanced,India
India,England,India,75 runs,Bengaluru,"Feb 1, 2017",T20I # 594,India,Balanced,India
New Zealand,South Africa,South Africa,78 runs,Auckland,"Feb 17, 2017",T20I # 595,South Africa,Batting,New Zealand
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,"Feb 17, 2017",T20I # 596,Australia,Balanced,Australia
Australia,Sri Lanka,Sri Lanka,2 wickets,Geelong,"Feb 19, 2017",T20I # 597,Australia,Balanced,Australia
Australia,Sri Lanka,Australia,41 runs,Adelaide,"Feb 22, 2017",T20I # 598,Australia,Balanced,Australia
Afghanistan,Ireland,Afghanistan,6 wickets,Greater Noida,"Mar 8, 2017",T20I # 599,Ireland,Balanced,India
Afghanistan,Ireland,Afghanistan,17 runs,Greater Noida,"Mar 10, 2017",T20I # 600,Afghanistan,Balanced,India
Afghanistan,Ireland,Afghanistan,28 runs,Greater Noida,"Mar 12, 2017",T20I # 601,Afghanistan,Balanced,India
West Indies,Pakistan,Pakistan,6 wickets,Bridgetown,"Mar 26, 2017",T20I # 602,West Indies,Balanced,Barbados
West Indies,Pakistan,Pakistan,3 runs,Port of Spain,"Mar 30, 2017",T20I # 603,Pakistan,Batting,Trinidad and Tobago
West Indies,Pakistan,West Indies,7 wickets,Port of Spain,"Apr 1, 2017",T20I # 604,Pakistan,Batting,Trinidad and Tobago
West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,"Apr 2, 2017",T20I # 605,West Indies,Batting,Trinidad and Tobago
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Apr 4, 2017",T20I # 606,Bangladesh,Batting,Sri Lanka
Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),"Apr 6, 2017",T20I # 607,Bangladesh,Batting,Sri Lanka
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,"Apr 12, 2017",T20I # 608,P.N.G.,Bowling,United Arab Emirates (UAE)
U.A.E.,P.N.G.,U.A.E.,30 runs,Abu Dhabi,"Apr 14, 2017",T20I # 609,U.A.E.,Bowling,United Arab Emirates (UAE)
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,"Apr 14, 2017",T20I # 610,P.N.G.,Bowling,United Arab Emirates (UAE)
West Indies,Afghanistan,West Indies,6 wickets,Basseterre,"Jun 2, 2017",T20I # 611,Afghanistan,Batting,Saint Kitts and Nevis
West Indies,Afghanistan,West Indies,29 runs,Basseterre,"Jun 3, 2017",T20I # 612,West Indies,Batting,Saint Kitts and Nevis
West Indies,Afghanistan,West Indies,7 wickets,Basseterre,"Jun 5, 2017",T20I # 613,Afghanistan,Batting,Saint Kitts and Nevis
England,South Africa,England,9 wickets,Southampton,"Jun 21, 2017",T20I # 614,South Africa,Balanced,England (United Kingdom)
England,South Africa,South Africa,3 runs,Taunton,"Jun 23, 2017",T20I # 615,South Africa,Balanced,England (United Kingdom)
England,South Africa,England,19 runs,Cardiff,"Jun 25, 2017",T20I # 616,England,Balanced,Wales (United Kingdom)
West Indies,India,West Indies,9 wickets,Kingston,"Jul 9, 2017",T20I # 617,India,Batting,Jamaica
Sri Lanka,India,India,7 wickets,Colombo (RPS),"Sep 6, 2017",T20I # 618,Sri Lanka,Batting,Sri Lanka
Pakistan,World-XI,Pakistan,20 runs,Lahore,"Sep 12, 2017",T20I # 619,Pakistan,Balanced,Pakistan
Pakistan,World-XI,World-XI,7 wickets,Lahore,"Sep 13, 2017",T20I # 620,Pakistan,Balanced,Pakistan
Pakistan,World-XI,Pakistan,33 runs,Lahore,"Sep 15, 2017",T20I # 621,Pakistan,Balanced,Pakistan
England,West Indies,West Indies,21 runs,Chester-le-Street,"Sep 16, 2017",T20I # 622,West Indies,Balanced,England (United Kingdom)
India,Australia,India,9 wickets,Ranchi,"Oct 7, 2017",T20I # 623,Australia,Balanced,India
India,Australia,Australia,8 wickets,Guwahati,"Oct 10, 2017",T20I # 624,India,Bowling,India
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 26, 2017",T20I # 625,Sri Lanka,Bowling,United Arab Emirates (UAE)
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,"Oct 26, 2017",T20I # 626,South Africa,Batting,South Africa
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,"Oct 27, 2017",T20I # 627,Sri Lanka,Bowling,United Arab Emirates (UAE)
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,"Oct 29, 2017",T20I # 628,South Africa,Batting,South Africa
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,"Oct 29, 2017",T20I # 629,Pakistan,Balanced,Pakistan
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",T20I # 630,India,Batting,India
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",T20I # 631,New Zealand,Balanced,India
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",T20I # 632,India,Balanced,India
India,Sri Lanka,India,93 runs,Cuttack,"Dec 20, 2017",T20I # 633,India,Balanced,India
India,Sri Lanka,India,88 runs,Indore,"Dec 22, 2017",T20I # 634,India,Balanced,India
India,Sri Lanka,India,5 wickets,Wankhede,"Dec 24, 2017",T20I # 635,Sri Lanka,Balanced,India
New Zealand,West Indies,New Zealand,47 runs,Nelson,"Dec 29, 2017",T20I # 636,New Zealand,Balanced,New Zealand
New Zealand,West Indies,0,-,Mount Maunganui,"Jan 1, 2018",T20I # 637,New Zealand,Balanced,New Zealand
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,"Jan 3, 2018",T20I # 638,New Zealand,Balanced,New Zealand
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 22, 2018",T20I # 639,Pakistan,Balanced,New Zealand
New Zealand,Pakistan,Pakistan,48 runs,Auckland,"Jan 25, 2018",T20I # 640,Pakistan,Batting,New Zealand
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,"Jan 28, 2018",T20I # 641,Pakistan,Balanced,New Zealand
Australia,New Zealand,Australia,7 wickets,Sydney,"Feb 3, 2018",T20I # 642,New Zealand,Balanced,Australia
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,"Feb 5, 2018",T20I # 643,Zimbabwe,Batting,United Arab Emirates (UAE)
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,"Feb 6, 2018",T20I # 644,Afghanistan,Batting,United Arab Emirates (UAE)
Australia,England,Australia,5 wickets,Hobart,"Feb 7, 2018",T20I # 645,England,Balanced,Australia
Australia,England,Australia,7 wickets,Melbourne,"Feb 10, 2018",T20I # 646,England,Balanced,Australia
New Zealand,England,New Zealand,12 runs,Wellington,"Feb 13, 2018",T20I # 647,New Zealand,Balanced,New Zealand
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Feb 15, 2018",T20I # 648,Bangladesh,Batting,Bangladesh
New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 16, 2018",T20I # 649,New Zealand,Batting,New Zealand
New Zealand,England,England,2 runs,Hamilton,"Feb 18, 2018",T20I # 650,England,Balanced,New Zealand
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,"Feb 18, 2018",T20I # 651,Sri Lanka,Batting,Bangladesh
South Africa,India,India,28 runs,Johannesburg,"Feb 18, 2018",T20I # 652,India,Batting,South Africa
New Zealand,Australia,Australia,19 runs,Auckland,"Feb 21, 2018",T20I # 653,Australia,Batting,New Zealand
South Africa,India,South Africa,6 wickets,Centurion,"Feb 21, 2018",T20I # 654,India,Batting,South Africa
South Africa,India,India,7 runs,Cape Town,"Feb 24, 2018",T20I # 655,India,Bowling,South Africa
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),"Mar 6, 2018",T20I # 656,India,Batting,Sri Lanka
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018",T20I # 657,Bangladesh,Batting,Sri Lanka
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),"Mar 10, 2018",T20I # 658,Sri Lanka,Batting,Sri Lanka
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Mar 12, 2018",T20I # 659,Sri Lanka,Batting,Sri Lanka
Bangladesh,India,India,17 runs,Colombo (RPS),"Mar 14, 2018",T20I # 660,India,Batting,Sri Lanka
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),"Mar 16, 2018",T20I # 661,Sri Lanka,Batting,Sri Lanka
Bangladesh,India,India,4 wickets,Colombo (RPS),"Mar 18, 2018",T20I # 662,Bangladesh,Batting,Sri Lanka
Pakistan,West Indies,Pakistan,143 runs,Karachi,"Apr 1, 2018",T20I # 663,Pakistan,Batting,Pakistan
Pakistan,West Indies,Pakistan,82 runs,Karachi,"Apr 2, 2018",T20I # 664,Pakistan,Batting,Pakistan
Pakistan,West Indies,Pakistan,8 wickets,Karachi,"Apr 3, 2018",T20I # 665,West Indies,Batting,Pakistan
ICC World XI,West Indies,West Indies,72 runs,Lord's,"May 31, 2018",T20I # 666,West Indies,Balanced,England (United Kingdom)
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,"Jun 3, 2018",T20I # 667,Afghanistan,Balanced,India
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,"Jun 5, 2018",T20I # 668,Bangladesh,Balanced,India
Afghanistan,Bangladesh,Afghanistan,1 runs,Dehradun,"Jun 7, 2018",T20I # 669,Afghanistan,Balanced,India
Netherlands,Ireland,Netherlands,4 runs,Rotterdam,"Jun 12, 2018",T20I # 670,Netherlands,Balanced,Netherlands
Scotland,Pakistan,Pakistan,48 runs,Edinburgh,"Jun 12, 2018",T20I # 671,Pakistan,Bowling,Scotland (United Kingdom)
Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,"Jun 13, 2018",T20I # 672,Ireland,Balanced,Netherlands
Scotland,Pakistan,Pakistan,84 runs,Edinburgh,"Jun 13, 2018",T20I # 673,Pakistan,Bowling,Scotland (United Kingdom)
Ireland,Scotland,Ireland,46 runs,Deventer,"Jun 16, 2018",T20I # 674,Ireland,Balanced,Netherlands
Ireland,Scotland,0,-,Deventer,"Jun 17, 2018",T20I # 675,Ireland,Balanced,Netherlands
Netherlands,Scotland,Scotland,7 wickets,Amstelveen,"Jun 19, 2018",T20I # 676,Netherlands,Balanced,Netherlands
Netherlands,Scotland,Scotland,115 runs,Amstelveen,"Jun 20, 2018",T20I # 677,Scotland,Balanced,Netherlands
Ireland,India,India,76 runs,Dublin (Malahide),"Jun 27, 2018",T20I # 678,India,Balanced,Ireland
England,Australia,England,28 runs,Birmingham,"Jun 27, 2018",T20I # 679,England,Balanced,England (United Kingdom)
Ireland,India,India,143 runs,Dublin (Malahide),"Jun 29, 2018",T20I # 680,India,Balanced,Ireland
Zimbabwe,Pakistan,Pakistan,74 runs,Harare,"Jul 1, 2018",T20I # 681,Pakistan,Balanced,Zimbabwe
Australia,Pakistan,Australia,9 wickets,Harare,"Jul 2, 2018",T20I # 682,Pakistan,Balanced,Zimbabwe
Zimbabwe,Australia,Australia,100 runs,Harare,"Jul 3, 2018",T20I # 683,Australia,Balanced,Zimbabwe
England,India,India,8 wickets,Manchester,"Jul 3, 2018",T20I # 684,England,Bowling,England (United Kingdom)
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Jul 4, 2018",T20I # 685,Zimbabwe,Balanced,Zimbabwe
Australia,Pakistan,Pakistan,45 runs,Harare,"Jul 5, 2018",T20I # 686,Pakistan,Balanced,Zimbabwe
Zimbabwe,Australia,Australia,5 wickets,Harare,"Jul 6, 2018",T20I # 687,Zimbabwe,Balanced,Zimbabwe
England,India,England,5 wickets,Cardiff,"Jul 6, 2018",T20I # 688,India,Balanced,Wales (United Kingdom)
Australia,Pakistan,Pakistan,6 wickets,Harare,"Jul 8, 2018",T20I # 689,Australia,Balanced,Zimbabwe
England,India,India,7 wickets,Bristol,"Jul 8, 2018",T20I # 690,England,Balanced,England (United Kingdom)
Nepal,Netherlands,0,-,Lord's,"Jul 29, 2018",T20I # 691,Nepal,Balanced,England (United Kingdom)
